eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,fight
198810250013,1988,10,25,"October 25-26, 1988",0,,217,United States,1,North America,Arizona,Flagstaff,35.1982,-111.651304,1.0,0,,"10/25/1988: Members of the Evan Mecham Eco-Terrorist International Conspiracy (EMETIC), claimed responsibility for using an acetylene torch to cut through one of the main steel poll supports for the cable ski lift at the Fairfield Snow Bowl Ski Resort in Flagstaff, Arizona in the United States.  At 6:30am on October 26, an unidentified male caller phoned a radio station and claimed he was part of the EMETIC group, and claimed responsibility for the incident, similar to the incidents from 1987.  Additionally, several media representatives received letters from the group, also claiming their involvement in the incident. In 1991, Marc Leslie Davis, Margaret Katherine Millet, Ilse Washington Asplund, and Marc Andre Baker were sentenced for the attacks on the Fairfield Snow Bowl ski resort. No casualties resulted from the incident, but there was property damage, which amounted to over $26,000, after the previous incident in November 1987, and this incident combined.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,11.0,Entertainment/Cultural/Stadium/Casino,Fairfield Snow Bowl Ski Resort,"cables of the chairlifts at the Fairfield Snow Bowl Ski Resort in Flagstaff, AZ",217.0,United States,,,,,,,,,,,,,,,,,Evan Mecham Eco-Terrorist International Conspiracy (EMETIC),,,,,,"To protest the destruction of trees, and the development of the ski resort and skiing activity on the land.",0.0,,,0,4.0,4.0,1.0,9.0,Other,,,,,,,0.0,11,Sabotage Equipment,,,,,,,,,,,,,,,propane (acetylene) torch,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),26000.0,,0.0,,,,,,,0.0,,,,,,,,,"Though the ski resort was not in operation at the time of the incident, the chairlift has the capability of holding 900 passengers on their way to the slopes and had the damage not been detected, serious injury, and even death may have occurred.  It is unclear if the group EMETIC is an offshoot of Earth First!; however, a member of the Earth First! group was arrested in regards to these incidents for donating funds to EMETIC. This incident is related to similar sabotage incidents at the Fairfield Snow Bowl ski area by the same perpetrators, one in October 1987, and another in November 1987.  All four perpetrators were tried and sentenced for these incidents of sabotage.","FBI, ""Terrorism in the United States: 1988,"" Terrorist Research and Analytical Center, Counterterrorism Section Criminal Investigative Division, FBI, December 31, 1988.","Angela Astle, ""Sabotage of ski lift detailed in eco-trial,"" The Prescott Courier, June 21, 1991.","""The charges against Earth First! Members- a chronology,"" The Prescott Courier, June 11, 1991.",Eco Project 2010,0,0,0,0,,саботаж
201707280045,2017,7,28,,0,,54,Czech Republic,9,Eastern Europe,Central Bohemian Region,Bela pod Bezdezem,50.507712,14.758153,1.0,1,The incident occurred on the railroad between Bezdez and Bela pod Bezdezem.,"07/28/2017: A train crashed into a fallen tree along the railway between Bezdez and Bela pod Bezdezem in Central Bohemian Region, Czech Republic. There were no reported casualties in the attack. An anti-immigrant extremist left notes at the scene of the attack in order to make it look like the attack had been perpetrated by jihadists. He did this in order to ""provoke a backlash against Muslims"" and immigration.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,19,Transportation,100.0,Train/Train Tracks/Trolley,Czech Railways,Train,54.0,Czech Republic,,,,,,,,,,,,,,,,,Anti-Immigrant extremists,,,,,,"An unaffiliated individual left notes at the scene of the attack in order to make it look like the attack had been perpetrated by jihadists. He did this in order to ""provoke a backlash against Muslims"" and immigration.",0.0,,,1,1.0,1.0,1.0,5.0,Note left at scene,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,-99.0,A train was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Revision: Prague - Czech 'fake jihadist' faces life on terror charges: report,"" AFP (North European Service), February 28, 2018.","""Man caused train crashes then left Arabic messages to provoke anti-Muslim backlash, prosecutors say,"" The Independent, March 1, 2018.","""Terrorism Digest 13-14 January 2019,"" BBC Monitoring, January 14, 2019.",START Primary Collection,-9,-9,0,-9,,саботаж
201810070039,2018,10,7,,0,,75,Germany,8,Western Europe,Bavaria,Allersberg,49.250493,11.216857,1.0,1,,"10/07/2018: Assailants attempted to sabotage an ICE 821 train by pulling a steel wire across train tracks near Allersberg, Bavaria, Germany. There were no reported casualties in the attack. Authorities apprehended an unidentified individual in connection with the attack. Jihadi-inspired extremists claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,19,Transportation,100.0,Train/Train Tracks/Trolley,Intercity-Express,821 Train,75.0,Germany,,,,,,,,,,,,,,,,,Jihadi-inspired extremists,,,,,,A note and other docments alluding to support for the Islamic State of Iraq and the Levant (ISIL) were found at the scene.,0.0,,,1,1.0,1.0,1.0,5.0,Note left at scene,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,Steel wire and wooden wedges were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A window was damaged.,0.0,,,,,,,,,,,,,,,,,"""Terrorism Digest: 28-29 October 2018,"" BBC Monitoring, October 28, 2018.","""Germany: Islamic Bulletin for 24-30 October 2018,"" Summary, October 24, 2018.",,START Primary Collection,-9,-9,0,-9,,саботаж
198711070018,1987,11,7,,0,,217,United States,1,North America,Arizona,Flagstaff,35.1982,-111.651304,1.0,0,,"11/07/1987: Members of the Evan Mecham Eco-Terrorist International Conspiracy (EMETIC), claimed responsibility for damaging the pylons and cables which supported the main ski chairlift at the Fairfield Snow Bowl Ski Resort in Flagstaff, Arizona in the United States,   There were no casualties, but the property damage was estimated at $26,000 and an additional $30,000 to heighten security at the resort. In a letter to the ski resort, the group stated that ""if trees were not allowed to grow back"" and ""ski operations not discontinued,"" then more damage would occur. Marc Leslie Davis, Margaret Katherine Millet, Ilse Washington Asplund, and Marc Andre Baker were arrested and in 1991, pled guilty and sentenced for their involvement in this incident.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,8.0,Hotel/Resort,Fairfield Snow Bowl Ski Resort,"cables of the main chairlift at the Fairfield Snow Bowl Ski Resort in Flagstaff, AZ",217.0,United States,,,,,,,,,,,,,,,,,Evan Mecham Eco-Terrorist International Conspiracy (EMETIC),,,,,,"To protest the destruction of trees, and the development of the ski resort and skiing activity on the land.",0.0,,,0,4.0,4.0,1.0,1.0,Letter,,,,,,,0.0,11,Sabotage Equipment,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),26000.0,"26,000 in damages to equipment, and an additional $30,000 in heightened security costs",0.0,,,,,,,0.0,,,,,,,,,"Although the lift was closed for winter opening preparation at the time of the incident, and no casualties occurred, the chairlift has the capability of holding 900 passengers on their way to the slopes and had the damage not been detected, serious injury, and even death may have occurred.  It is unclear if this group is an offshoot of Earth First!; however, a member of the Earth First! group was arrested in regards to these incidents for donating funds to EMETIC. This incident is related to similar sabotage incidents at the Fairfield Snow Bowl ski area by the same perpetrators, one in October 1987, and another in October 1988.","FBI, ""Terrorism in the United States: 1988,"" Terrorist Research and Analytical Center, Counterterrorism Section Criminal Investigative Division, FBI, December 31, 1988.","Angela Astle, ""Sabotage of ski lift detailed in eco-trial,"" The Prescott Courier, June 21, 1991.","Charlene Smith, ""Environmental Activists Sentenced in Sabotage Case,"" The Associated Press, September 19, 1991.",Eco Project 2010,0,0,0,0,,саботаж
198905300021,1989,5,30,,0,,217,United States,1,North America,Arizona,Wenden,33.823555,-113.542024,1.0,0,,"5/30/1989: Two members of the Evan Mecham Eco-Terrorist International Conspiracy group, Mark Leslie Davis and Marc Andre Baker, were arrested as they attempted to cut through a metal support tower which held electric lines delivering electricity to the Harcuvar Substation near Wenden, Arizona in the United States.  The two were trying to cut down the power line using a propane torch, similar to their previous incidents of terrorism in 1987 and 1988 at the Flagstaff, Arizona ski lifts and the power lines at the Grand Canyon, Arizona.  The power pole was owned by the U.S. Department of Energy, and the Harcuvar Substation owned by the Central Arizona Project (CAP), which was the main source of water supply for Arizona.  The perpetrators were arrested as they were at the location, about to carry out the attack, and thus, authorities believe much potential damage to the substation was prevented.",1,1,1,1,2.0,Other Crime Type,0,0,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,US Department of Energy,power pole owned by the US Department of Energy,217.0,United States,21.0,Utilities,107.0,Electricity,Harcuvar Substation owned by the Central Arizona Project (CAP),"power poles providing electricity to the Harcuvar Substation, owned by the Central Arizona Project (CAP), which is the main source of water supply for Arizona",217.0,United States,,,,,,,,,Evan Mecham Eco-Terrorist International Conspiracy (EMETIC),,,,,,"The specific motive is unknown; however this group is responsible for multiple incidents of sabotage against power lines and ski equipment; additionally, this particular incident was in preparation for 3 other planned attacks of nuclear facilities, which never came to fruition due to the arrests",0.0,,,0,2.0,2.0,0.0,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,propane (acetylene) torch,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,0.0,,,,,,,,,"The perpetrators were charged with destruction of an energy facility, and they, along with two other members of the group, Margaret ""Peggy"" Katherine Millett and David Foreman (also arrested), were charged with conspiracy to sabotage a nuclear facility in their plots to sabotage three nuclear facilities in California, Arizona, and Colorado. It remains unclear if this group was an offshoot of Earth First!","FBI, ""Terrorism in the United States: 1989,"" Terrorist Research and Analytical Center, Counterterrorism Section, Criminal Investigative Division, 1989.","""Four Environmentalists Arrested on Nuclear Sabotage Charges,"" The Associated Press, May 31, 1989.",,Eco Project 2010,0,0,0,0,,саботаж
201103010026,2011,3,1,,0,,92,India,6,South Asia,Bihar,Garhi,24.787585,86.082801,1.0,0,The attack took place at an inspection bungalow of the water resources department in Garhi village in Jamui.,"03/01/2011: On Tuesday evening around 2030, in Garhi village in Jamui, Bihar, India, in one of three linked attacks, over 100 militants damaged an inspection bungalow of the water resources department with bulldozers. Reportedly, the militants brought four JCB bulldozers from a private road construction firm and bulldozed three government buildings, including an irrigation office, a two-storey school building and the inspection bungalow of the water resources department. The attack caused an unknown amount of property damage to the bungalow, but resulted in no casualties. No group claimed responsibility, but it was suspected that Communist Party of India-Maoist (CPI-M) militants were responsible.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,Jamui Water Resources Department,An inspection bungalow of the water resources department was targeted in the attack.,92.0,India,,,,,,,,,,,,,,,,,Communist Party of India - Maoist (CPI-Maoist),,,,,,The specific motive for the attack is unknown.,1.0,,,0,100.0,0.0,0.0,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,Four bulldozers were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the bungalow.,0.0,,,,,,,,,,,,,,,,,"South Asia Terrorism Portal, ""Maoists Set Ablaze Three Vehicles and Demolish School Building in Bihar,"" Times of India, http://www.satp.org/satporgtp/detailed_news.asp?date1=3/3/2011&id=6#6 (March 3, 2011).","Press Trust of India, “Maoists Demolish School, Two Other Buildings,"" LexisNexis Academic, Press Trust of India, March 1, 2011.","Asian News International, ""Maoists Demolish School in Bihar's Jamui District,"" LexisNexis Academic, Asian News International, March 3, 2011.",ISVG,0,0,0,0,"201103010007, 201103010025, 201103010026",саботаж
201103010025,2011,3,1,,0,,92,India,6,South Asia,Bihar,Garhi,24.787585,86.082801,1.0,0,The attack took place at a school building in Garhi village in Jamui.,"03/01/2011: On Tuesday evening around 2030, in Garhi village in Jamui, Bihar, India, in one of three linked attacks, over 100 militants damaged a two-storey school building with bulldozers. Reportedly, the militants brought four JCB bulldozers from a private road construction firm and bulldozed three government buildings, including an irrigation office, the two-storey school building and an inspection bungalow of the water resources department. The attack caused an unknown amount of property damage to the school, but resulted in no casualties. No group claimed responsibility, but it was suspected that Communist Party of India-Maoist (CPI-M) militants were responsible.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,8,Educational Institution,49.0,School/University/Educational Building,Jamui Government,A government run school building was targeted in the attack.,92.0,India,,,,,,,,,,,,,,,,,Communist Party of India - Maoist (CPI-Maoist),,,,,,The specific motive for the attack is unknown.,1.0,,,0,100.0,0.0,0.0,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,Four bulldozers were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the school.,0.0,,,,,,,,,,,,,,,,,"South Asia Terrorism Portal, ""Maoists Set Ablaze Three Vehicles and Demolish School Building in Bihar,"" Times of India, http://www.satp.org/satporgtp/detailed_news.asp?date1=3/3/2011&id=6#6 (March 3, 2011).","Press Trust of India, “Maoists Demolish School, Two Other Buildings,"" LexisNexis Academic, Press Trust of India, March 1, 2011.","Asian News International, ""Maoists Demolish School in Bihar's Jamui District,"" LexisNexis Academic, Asian News International, March 3, 2011.",ISVG,0,0,0,0,"201103010007, 201103010025, 201103010026",саботаж
201310070055,2013,10,7,,0,,160,Philippines,5,Southeast Asia,North Cotabato,Carmen,7.199509,124.796984,1.0,0,,"10/07/2013: An assailant was spotted sabotaging a power pylon in Carmen town, North Cotabato province, Philippines. The saboteur damaged a section of the pylon, disrupting power supply, before fleeing. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,21,Utilities,107.0,Electricity,National Grid Corporation of the Philippines (NGCP),Power Pylon,160.0,Philippines,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,1.0,0.0,0.0,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,A hacksaw was used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A power pylon was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Militiamen chase away saboteur trying to topple power pylon,"" Philippine Daily Inquirer, October 9, 2013.",,,START Primary Collection,-9,-9,0,-9,,саботаж
198106050007,1981,6,5,,0,,83,Guatemala,2,Central America & Caribbean,Alta Verapaz,Yalpemech,15.95,-90.116667,1.0,0,,,1,1,1,-9,,,0,0,0,7,Facility/Infrastructure Attack,,,,,21,Utilities,108.0,Oil,Military Unit,Oil Pipeline,83.0,Guatemala,,,,,,,,,,,,,,,,,Guerrillas,,,,,,,0.0,,,0,3.0,,,,,,,,,,,,11,Sabotage Equipment,,,5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,Sabotage; Automatic firearm,3.0,0.0,3.0,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,,саботаж
200005080002,2000,5,8,,0,,92,India,6,South Asia,Maharashtra,Mumbai,19.075984,72.877656,1.0,1,,"05/08/2000: On the evening of May 8, 2000 two militant Hindu organizations raided the Christian girls hostel Ashramshala, India. Members of the Vishwa Hindu Parishad (VHP) and Bajrang Dal entered the hostel in reaction to the viewing of a film about the life of Jesus Christ. The film projector and screen were destroyed as well as three motorcycles and a mini van. Two people were injured.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,15,Religious Figures/Institutions,87.0,Affiliated Institution,Unknown,Ashramshala girls hostel,92.0,India,,,,,,,,,,,,,,,,,Vishwa Hindu Parishad (VHP),,,,,,The specific motivation was to halt the presentation of a film about Jesus Christ.,0.0,,,0,80.0,32.0,0.0,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,There was damage to three motorcycles and a minivan as well as the film projector and screen.,0.0,,,,,,,,,,,,,,,,The Bajrang Dal is a youth based wing of the VHP.,"""India's VHP Activists Attack Hostel Run by Missionaries,""  The Times of India, May 11, 2000.","""Missionary Zeal: Minority Schools Under Attack,"" FT Asia Intelligence Wire, May 15, 2000.",,CETIS,0,0,0,0,,саботаж
