eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197005290005,1970,5,29,"May 27 - June 5, 1970",0,,217,United States,1,North America,California,San Diego,32.715695,-117.161719,1.0,1,Pacific Ocean,"5/29/1970:  William F. Passmore a sailor on the Vietnam bound Navy Destroyer USS Richard B. Anderson sabotaged one of the engines of the ship by dropping nuts and bolts into the gears.  The ship returned to the United States and it took $231,000 to repair.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,32.0,Military Maritime,US Navy,USS Richard B. Anderson,217.0,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,To prevent soldiers from being deployed to fight in the Vietnam War,0.0,,,0,1.0,1.0,0.0,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,"Nuts, bolts, and other metallic objects placed in the gears",0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),231000.0,One of two engines damaged,0.0,,,,,,,0.0,,,,,,,,,"The USS Richard B. Anderson departed from San Diego on May 27 and the act of sabotage occurred shortly there after.  Originally, three sailors were accused of sabotaging the ship.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Around the Nation: Sabotage,"" Washington Post, August 24, 1970.","""3 Sailors Held In Damage To Viet-Bound Destroyer,"" Baltimore Sun, June 15, 1970.",Hewitt Project,-9,-9,0,-9,
197805200005,1978,5,20,,0,,101,Japan,4,East Asia,Chiba,Narita,35.772163,140.321777,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,6,Airports & Aircraft,44.0,Airport,,"New Tokyo International Airport, Tokyo Area control center",101.0,Japan,,,,,,,,,,,,,,,,,Chukakuha (Middle Core Faction),,,,,,,0.0,,,0,,,,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,Cut cables,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),50000.0,"Damages: damamged facility, cut cables and sabotaged equipment, disabled air control over Japan, estimated at $50,000 (airport control center)",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197811140002,1978,11,14,,0,,43,Chile,3,South America,Antofagasta,Cerro de la Cruz district,-22.194722,-69.785,3.0,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,21,Utilities,107.0,Electricity,,High Tension Towers,43.0,Chile,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,Sabotage,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197903180005,1979,3,18,,0,,101,Japan,4,East Asia,Ibaraki,Unknown,36.341811,140.446793,4.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,16,Telecommunication,90.0,Telephone/Telegraph,,Telephone cables for Narita Flight Guidance system,101.0,Japan,,,,,,,,,,,,,,,,,Chukakuha (Middle Core Faction),,,,,,,1.0,,,0,,,,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,Cut cables,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),5000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198105030025,1981,5,3,,0,,159,Peru,3,South America,Moquegua,Ilo,-3.743667,-73.251874,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,19,Transportation,100.0,Train/Train Tracks/Trolley,,train (47 cars) filled with copper concentrate,159.0,Peru,,,,,,,,,,,,,,,,,Shining Path (SL),,,,,,,1.0,,,0,,,,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,Derailed,,,,,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198106050007,1981,6,5,,0,,83,Guatemala,2,Central America & Caribbean,Alta Verapaz,Yalpemech,15.95,-90.116667,1.0,0,,,1,1,1,-9,,,0,0,0,7,Facility/Infrastructure Attack,,,,,21,Utilities,108.0,Oil,Military Unit,Oil Pipeline,83.0,Guatemala,,,,,,,,,,,,,,,,,Guerrillas,,,,,,,0.0,,,0,3.0,,,,,,,,,,,,11,Sabotage Equipment,,,5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,Sabotage; Automatic firearm,3.0,0.0,3.0,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198107030005,1981,7,3,,0,,217,United States,1,North America,Utah,Spanish Valley,38.495161,-109.458945,1.0,0,"seven miles south of Moab in San Juan County, Utah","07/03/1981: Unknown perpetrators toppled a Utah Power & Light Company transmission tower carrying a 345,000-volt power line, as well as chopped down two 345,000-volt aluminum conductors seven miles south of Moab, in San Juan County, Utah, in the United States.  There were no casualties and no power service was lost, but damage was estimated at $10,000.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,21,Utilities,107.0,Electricity,Utah Power & Light Company,"three-pole transmission tower carrying a 345,000 volt power line, owned by Utah Power & Light Company",217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,possibly a saw or an ax,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),10000.0,"$10,000-$20,000 in damages, which authorities suspected would take two days to repair",0.0,,,,,,,0.0,,,,,,,,,"The power transmission line was a main transmission artery to the Four Corners area where the boundaries of Colorado, Utah, New Mexico and Utah meet.","""Power Company Says Toppling Of Tower Was Sabotage,"" Associated Press, July 4, 1981.","""Power line toppled by 'saboteurs,'"" The Register-Guard, July 5, 1981.","""High-Power Tower Toppled in Utah,"" Toledo Blade, July 3, 1981.",Eco Project 2010,-9,-9,0,-9,
198111130019,1981,11,13,,0,,137,Mozambique,11,Sub-Saharan Africa,Sofala,Beira,-19.81816,34.835503,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,11,Maritime,60.0,Port,,eight buoys marking harbor entrance at railroad Port of Beira,137.0,Mozambique,,,,,,,,,,,,,,,,,Mozambique National Resistance Movement (MNR),,,,,,,0.0,,,0,,,,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,Sabotage,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
198212020003,1982,12,2,,0,,217,United States,1,North America,California,Northridge,34.097866,-118.407379,1.0,0,"residence in suburban Northridge community in San Fernando Valley, about 24 miles northwest of Los Angeles","12/2/1982: The Northridge home of Dr. George Ashley in Los Angeles, California, United States, was broken into and vandalized with slogans saying """"Never Again"" and ""No More Holocaust"" spray painted on his walls.  There were no casualties in the incident, but the amount of property damage is unknown.  The perpetrators are suspected to be Jewish terrorists, but no group claimed responsibility or was conclusively identified.  Ashley's home was also firebombed about six months prior to this incident, and then bombed again in 1985, along with many threatening phone calls from Jews that he received over the three years between the two bombings and even prior to the first one.",1,1,1,1,2.0,Other Crime Type,0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,77.0,Laborer (General)/Occupation Identified,"Dr. George Ashley, high school teacher and advisor at the Institute for Historical Review","Dr. George Ashley, high school teacher and advisor at the Institute for Historical Review",217.0,United States,,,,,,,,,,,,,,,,,Jewish Extremists,,,,,,"Ashley had argued that accounts of Nazi genocide against Jews during World War II are exaggerated, and he worked the Institute for Historical Review, an organization that believed that the Holocaust never occurred.",0.0,,,0,-99.0,-99.0,0.0,,,,,,,,,,11,Sabotage Equipment,,,,,,,,,,,,,,,perpetrators broke into home and vandalized property including spray-painting walls,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,,0.0,,,,,,,,,,,,,,,,"On December 22, Mordechai Levy, leader of the Jewish Defense Organization (which is unrelated to the JDL) was arrested for investigation into the vandalism of Ashley's home; however, Levy claimed he had an alibi and was in New York on December 2, and that he was being framed and had the flight tickets and receipts to prove it.  Additionally, on December 22, Irving Rubin, leader of the Jewish Defense League, was arrested on charges of making telephone threats against Ashley, when Rubin called him at his home after the May firebombing and after the vandalism earlier in December.  However, Rubin claimed they had a cordial conversation in which Rubin told Ashley that all he had to do was publicly apologize to the Jewish community, and they would leave him alone.  Rubin was later released on bail. In addition to this vandalism incident, Ashley's home was firebombed two times by Jewish terrorists, once in May 1982 (198205270004), and then again in May 1985.","""Jewish Defense League Leader 'Stunned' Over Arrest,"" The Associated Press, December 24, 1982.","""Jewish Defense League leader is charged with making threat,"" The Baltimore Sun, December 25, 1982.",,Hewitt Project,-9,-9,0,-9,
198403020013,1984,3,2,,0,,61,El Salvador,2,Central America & Caribbean,San Salvador,San Salvador,13.69288,-89.199161,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,1.0,Gas/Oil/Electric,,gas station,61.0,El Salvador,,,,,,,,,,,,,,,,,Farabundo Marti National Liberation Front (FMLN),People's Liberation Forces (FPL),,,,,,0.0,,,0,,,,,,,,,,,,,11,Sabotage Equipment,,,13.0,Unknown,,,,,,,,,,,Sabotage; Occupied,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
