eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,fight
200612310008,2006,12,31,,0,,141,Nepal,6,South Asia,Eastern,Khadgapur,26.540192,86.590034,1.0,0,,"12/31/2006: Members of Janatantrik Terai Mukti Morcha - Jwala Singh (JTMM-J) threw rocks at and then fired upon a van belonging to Kantipur Publications in Khadopul, Saptari, Nepal. JTMM-J's Saptari coordinator claimed credit for the attack, stating that it was in response to Kantipur Publications not giving priority to news related to JTMM. The vehicle was damaged, but passengers inside were not harmed.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,73.0,Vehicles/Transportation,Kantipur Publications,Van with passengers inside,141.0,Nepal,,,,,,,,,,,,,,,,,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),,,,,,The publication was not giving priority to news related to JTMM-J,0.0,,,0,5.0,0.0,1.0,8.0,Personal claim,,,,,,,0.0,9,Melee,21.0,Blunt Object,5.0,Firearms,5.0,Unknown Gun Type,,,,,,,,,"The attackers first threw rocks at the vehicle, damaging it, and then later fired on the vehicle.",0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,The front and sides of the vehicle were damaged by thrown stones.,0.0,,,,,,,,,,,,,,,,,"""JTMM opens fire on Kantipur vehicle,"" ekantipur.com, December 31, 2006",,,UMD JTMM Nepal 2012,0,0,0,0,,рукопашный бой
201705240049,2017,5,24,,0,,78,Greece,8,Western Europe,Attica,Athens,37.997492,23.762727,1.0,0,The incident occurred at the University of Athens.,"05/24/2017: Assailants armed with axes, hammers, and knives attacked the education faculty at University of Athens in Athens, Attica, Greece. There were no reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to anarchists.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,8,Educational Institution,49.0,School/University/Educational Building,National and Kapodistrian University of Athens,Education Faculty,78.0,Greece,,,,,,,,,,,,,,,,,Anarchists,,,,,,,0.0,,,0,20.0,0.0,0.0,,,,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,9.0,Melee,21.0,Blunt Object,,,,,,,,,"Axes, knives, and hammers were used in the attack.",0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Posters were damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Anarchists upset student union elections, one hurt,"" EKathimerini.com, May 24, 2017.",,,START Primary Collection,-9,-9,0,-9,,рукопашный бой
201511110065,2015,11,11,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607711,-5.95621,1.0,0,The incident occurred along Crumlin Road in the Ardoyne neighborhood.,"11/11/2015: Assailants attacked a house on Crumlin Road in Ardoyne neighborhood, Belfast, Northern Ireland, United Kingdom. There were no reported casualties in the attack, but the house was damaged. No group claimed responsibility for the incident; however, sources attributed the attack to loyalists.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,76.0,House/Apartment/Residence,Not Applicable,House,233.0,Northern Ireland,,,,,,,,,,,,,,,,,Loyalists,,,,,,"The specific motive is unknown; however, sources suspected that the attack may have been part of a larger trend of sectarian violence in Northern Ireland.",0.0,,,0,3.0,0.0,0.0,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Hammers and crowbars were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A house was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Attack on Catholic home blamed on loyalist gang,"" The Irish News, November 12, 2015.",,,START Primary Collection,0,0,1,1,,рукопашный бой
199107120014,1991,7,12,,0,,142,Netherlands,8,Western Europe,Overijssel,Deventer,52.26008,6.164839,1.0,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,Turkey State Dept.,Turkish Consulate,209.0,Turkey,,,,,,,,,,,,,,,,,Kurdish Dissidents,,,,,,,0.0,,,0,70.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Rocks,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,,рукопашный бой
201808260015,2018,8,25,,0,,78,Greece,8,Western Europe,Attica,Athens,37.997492,23.762727,1.0,0,The incident occurred in the Marousi area of the city,"08/25/2018: Assailants attacked the offices of Mytilineos company in Marousi, Athens, Greece. There were no reported injuries, though the building was damaged in the attack. Rubicon (Rouvikonas) claimed responsibility for the incident and alleged that Vangelis Mytilineos had created his ""empire by ripping natural resources, exploiting thousands of people who work for him and - as he has the right connections - making some very profitable deals especially with the national power company.""",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,,,Mytilineos Holdings,Offices,78.0,Greece,,,,,,,,,,,,,,,,,Rubicon (Rouvikonas),,,,,,"Rubicon (Rouvikonas) claimed responsbility for the incident and alleged that Vangelis Mytilineos had created his ""empire by ripping natural resources, exploiting thousands of people who work for him and - as he has the right connections - making some very profitable deals especially with the national power company.""",0.0,,,0,4.0,0.0,1.0,6.0,Video,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Sledgehammers were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,The front of a building was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""State PAO: Greece: Daily Media Roundup Monday August 27, 2018,"" US Embassy Public Affairs Office, August 27, 2018.",,,START Primary Collection,0,0,0,0,,рукопашный бой
199209210013,1992,9,21,,0,,75,Germany,8,Western Europe,Brandenburg,Lubbenau,51.868166,13.969383,1.0,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,8.0,Hotel/Resort,Govt,Foreigners Hostel,75.0,Germany,,,,,,,,,,,,,,,,,Neo-Nazi extremists,,,,,,,0.0,,,0,60.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Stones,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,,рукопашный бой
199203260006,1992,3,26,,0,,69,France,8,Western Europe,Alsace,Strasbourg,48.583148,7.7478820000000015,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,Turkey state dept,turkish consulate,209.0,Turkey,,,,,,,,,,,,,,,,,Kurdistan Workers' Party (PKK),,,,,,,0.0,,,0,28.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,8.0,Incendiary,,,,,,,,,,,Stones; Incendiary,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,0,1,1,,рукопашный бой
199410180008,1994,10,18,,0,,93,Indonesia,5,Southeast Asia,Jakarta,Jakarta,-6.208821,106.846046,1.0,0,,,1,1,0,1,1.0,Insurgency/Guerilla Action,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,28.0,Military Recruiting Station/Academy,National University,In-House military cadet corps,93.0,Indonesia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,12.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,8.0,Incendiary,18.0,Arson/Fire,,,,,,,,,Baseball bats; Arson,0.0,,,4.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,,рукопашный бой
199503180010,1995,3,18,,0,,217,United States,1,North America,Colorado,Denver,39.758968,-104.876305,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,5,Abortion Related,40.0,Clinics,Planned Parenthood,Clinic,217.0,United States,,,,,,,,,,,,,,,,,Anti-Abortion extremists,,,,,,,0.0,,,1,1.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Sledgehammer,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,,рукопашный бой
201606230050,2016,6,23,,0,,142,Netherlands,8,Western Europe,South Holland,Dordrecht,51.813298,4.690093,1.0,0,,"06/23/2016: Assailants attacked a Turkish mosque in Dodrecht, Netherlands. At least two people were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Unknown,Mosque,142.0,Netherlands,,,,,,,,,,,,,,,,,Kurdistan Workers' Party (PKK),,,,,,,0.0,,,0,15.0,0.0,0.0,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Iron bars were used in the attack.,0.0,0.0,0.0,2.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A mosque was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Turkish mosque vandalized in Netherlands,"" Anadolu Ajansi, June 24, 2016.","""Turkish mosque vandalized in the Netherlands,"" Daily Sabah, June 24, 2016.",,START Primary Collection,1,1,0,1,,рукопашный бой
