eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
198106230008,1981,6,23,,0,,362,West Germany (FRG),8,Western Europe,Hamburg,Hamburg,53.553813,9.991586,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,,Iranian Consulate,94.0,Iran,,,,,,,,,,,,,,,,,Mujahedin-e Khalq (MEK),,,,,,,0.0,,,0,30.0,,,,,,,,,,,,9,Melee,27.0,Unknown Weapon Type,,,,,,,,,,,,,Smashed windows,0.0,,,0.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,1,1,1,
198201220005,1982,1,22,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,2,Government (General),21.0,Government Building/Facility/Office,,Municipal building,159.0,Peru,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,60.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,9.0,Melee,21.0,Blunt Object,8.0,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,Sticks; Stones; Molotov cocktail,,,,,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198203260011,1982,3,26,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,74.0,Marketplace/Plaza/Square,,commercial center,159.0,Peru,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,20.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,8.0,Incendiary,,,,,,,,,,,Rocks; Incendiary bombs; Robbery; Vandalism,0.0,,,1.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
199107120014,1991,7,12,,0,,142,Netherlands,8,Western Europe,Overijssel,Deventer,52.26008,6.164839,1.0,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,Turkey State Dept.,Turkish Consulate,209.0,Turkey,,,,,,,,,,,,,,,,,Kurdish Dissidents,,,,,,,0.0,,,0,70.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Rocks,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
199203210008,1992,3,21,,0,,15,Austria,8,Western Europe,Vienna,Vienna,48.208174,16.373819,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,6,Airports & Aircraft,43.0,Airline Officer/Personnel,Turkish Airlines,Office at Operngasse 3,209.0,Turkey,,,,,,,,,,,,,,,,,Kurdistan Workers' Party (PKK),,,,,,,0.0,,,0,12.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Stones,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,0,1,1,
199203210010,1992,3,21,,0,,151,Norway,8,Western Europe,Oslo,Oslo,59.91386899999999,10.752245,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,Turkey State Dept.,Turkish Embassy,209.0,Turkey,,,,,,,,,,,,,,,,,Kurdistan Workers' Party (PKK),,,,,,,0.0,,,0,30.0,,,,,,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,9.0,Melee,21.0,Blunt Object,8.0,Incendiary,,,,,,,Axes; Hammer; Incendiary,0.0,,,1.0,,,1,,,,"Damages: damaged embassy with axes, hammers, etc.",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,0,1,1,
199203230023,1992,3,23,,0,,198,Sweden,8,Western Europe,Stockholm,Stockholm,59.332788,18.064488,1.0,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,Turkey State Dept,Turkish embassy,209.0,Turkey,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,40.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Stones,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
199203260006,1992,3,26,,0,,69,France,8,Western Europe,Alsace,Strasbourg,48.583148,7.747882000000001,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,Turkey state dept,turkish consulate,209.0,Turkey,,,,,,,,,,,,,,,,,Kurdistan Workers' Party (PKK),,,,,,,0.0,,,0,28.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,8.0,Incendiary,,,,,,,,,,,Stones; Incendiary,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,0,1,1,
199203270010,1992,3,27,,0,,75,Germany,8,Western Europe,Berlin,Berlin,52.50153,13.401851,1.0,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,3.0,Bank/Commerce,Turkish Bank,Branch in Kreuzberg area,209.0,Turkey,,,,,,,,,,,,,,,,,Kurdistan Workers' Party (PKK),,,,,,,0.0,,,0,50.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,8.0,Incendiary,,,,,,,,,,,Stones; Incendiary,0.0,,,0.0,,,1,,,,"Damages: melee, extent of damage unknown (bank)",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,0,1,1,
199209210013,1992,9,21,,0,,75,Germany,8,Western Europe,Brandenburg,Lubbenau,51.868165999999995,13.969382999999999,1.0,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,8.0,Hotel/Resort,Govt,Foreigners Hostel,75.0,Germany,,,,,,,,,,,,,,,,,Neo-Nazi extremists,,,,,,,0.0,,,0,60.0,,,,,,,,,,,,9,Melee,21.0,Blunt Object,,,,,,,,,,,,,Stones,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
